city,land area,land,INTPTLAT,INTPTLONG
Chapeno,0.08,207314,26.550879,-99.13388
Charlotte,2.04,5284134,28.85929,-98.700638
Chester,1.575,4078867,30.921319,-94.600096
Chico,1.519,3933883,33.296056,-97.798605
Childress,8.26,21392742,34.435452,-100.282382
Chillicothe,1.021,2643203,34.255741,-99.514142
Chilton,3.951,10231921,31.286037,-97.060402
China,1.357,3513328,30.041136,-94.337619
China Grove,4.313,11170969,29.392923,-98.345575
China Spring,4.617,11957273,31.649242,-97.304793
Chireno,1.874,4854487,31.498948,-94.345855
Christine,1.719,4452715,28.786224,-98.497734
Christoval,1.325,3432864,31.197614,-100.493296
Chula Vista,0.183,473868,26.073846,-97.439723
Chula Vista,3.31,8571822,28.657188,-100.42465
Chula Vista,0.529,1370588,28.659549,-99.80429
Cibolo,21.09,54622073,29.570142,-98.217797
Cienegas Terrace,3.194,8273354,29.368983,-100.942851
Cinco Ranch,4.511,11682208,29.739856,-95.760674
Circle D-KC Estates,9.285,24046964,30.160456,-97.239843
Cisco,5.37,13907228,32.387425,-98.98192
Citrus,2.075,5375460,26.327914,-98.392202
Clarendon,2.994,7753614,34.936913,-100.892111
Clarksville,3.034,7858773,33.610958,-95.056322
Clarksville,6.372,16504672,32.534957,-94.893551
Claude,1.716,4445220,35.107367,-101.362882
Clay,4.446,11515604,30.388513,-96.344933
Clear Lake Shores,0.435,1125729,29.544297,-95.032537
Cleburne,33.196,85977365,32.354993,-97.411558
Cleveland,18.799,48688925,30.338215,-95.090283
Clifton,2.05,5309416,31.782037,-97.581879
Clint,1.964,5087872,31.590195,-106.228679
Cloverleaf,3.087,7996114,29.789089,-95.176256
Clute,5.319,13775999,29.025851,-95.398229
Clyde,3.284,8504604,32.405586,-99.503918
Coahoma,1.23,3186071,32.295623,-101.308884
Cockrell Hill,0.582,1507303,32.738177,-96.88858
Coffee,1.933,5006659,32.128156,-95.472439
Coldspring,1.856,4807388,30.5893,-95.131181
Coleman,6.143,15910343,31.831378,-99.422201
College Station,51.16,132502578,30.58516,-96.29636
Colleyville,13.119,33977245,32.891478,-97.149747
Collinsville,0.988,2557637,33.559363,-96.907163
Colmesneil,2.001,5181328,30.909656,-94.422059
Colorado Acres,2.941,7616192,27.644899,-99.214301
Colorado,5.332,13810316,32.399486,-100.858304
Columbus,3.006,7786637,29.702778,-96.557057
Comanche,4.561,11812730,31.900484,-98.604364
Combes,3.247,8409480,26.246514,-97.726766
Combine,7.281,18857713,32.590079,-96.51716
Comfort,3.467,8979876,29.972311,-98.904698
